Comment,Designator,Footprint,LCSC
"100nF","C1,C4,C5","Capacitor_SMD:C_0402_1005Metric",""
"12pF","C2,C14","Capacitor_SMD:C_0402_1005Metric",""
"0.8pF","C3","Capacitor_SMD:C_0402_1005Metric",""
"100pF","C7","Capacitor_SMD:C_0402_1005Metric",""
"4.7uF","C8","Capacitor_SMD:C_0603_1608Metric",""
"1.0uF","C9","Capacitor_SMD:C_0603_1608Metric",""
"Conn_01x07_Male","J1,J2","Connector_PinSocket_2.54mm:PinSocket_1x07_P2.54mm_Vertical",""
"Conn_Coaxial","J4","Connector_Coaxial:SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount",""
"3.9nH","L1","Inductor_SMD:L_0402_1005Metric",""
"nRF52832-QFxx","U1","Package_DFN_QFN:QFN-48-1EP_6x6mm_P0.4mm_EP4.6x4.6mm",""
"Crystal_GND24","Y1","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm",""
